Name,Ingredients
Herbal flame ,"['5 shots  Hot Damn', 'very sweet  Tea', '5 shots  Hot Damn', 'very sweet  Tea']"
Highland Fling Cocktail ,"['1 1/2 oz  Scotch', '3/4 oz  Sweet Vermouth', '2 dashes  Orange bitters', '1  Olive', '1 1/2 oz  Scotch', '3/4 oz  Sweet Vermouth', '2 dashes  Orange bitters', '1  Olive']"
Holloween Punch ,"[' Grape juice', ', orange\n Carbonated soft drink', ' Sherbet', ' Sherbet', ' Grape juice', ', orange\n Carbonated soft drink', ' Sherbet', ' Sherbet']"
Homemade Kahlua ,"['2 1/2 cups  Sugar', '1 cup  Corn syrup', '1 1/2 oz instant  Coffee', '2 oz  Vanilla extract', '3 cups boiling  Water', '1 fifth  Vodka', '2 1/2 cups  Sugar', '1 cup  Corn syrup', '1 1/2 oz instant  Coffee', '2 oz  Vanilla extract', '3 cups boiling  Water', '1 fifth  Vodka']"
Honey Bee ,"['6 cl White Rum', '2 cl Honey', '2 cl Lemon Juice', '6 cl White Rum', '2 cl Honey', '2 cl Lemon Juice']"
Horse's Neck ,"['1 long strip  Lemon peel', '2 oz  Brandy', '5 oz  Ginger ale', '2 dashes  Bitters', '1 long strip  Lemon peel', '2 oz  Brandy', '5 oz  Ginger ale', '2 dashes  Bitters']"
Hot Chocolate to Die for ,"['12 oz fine  Chocolate', '1 tsp  Butter', '1/2 tsp  Vanilla extract', '1 cup  Half-and-half', 'mini  Marshmallows', '12 oz fine  Chocolate', '1 tsp  Butter', '1/2 tsp  Vanilla extract', '1 cup  Half-and-half', 'mini  Marshmallows']"
Hot Creamy Bush ,"['1 shot  Irish whiskey', '3/4 shot  Baileys irish cream', '6 oz hot  Coffee', '1 shot  Irish whiskey', '3/4 shot  Baileys irish cream', '6 oz hot  Coffee']"
Hot Toddy ,"['50 ml Whiskey', '15 ml Honey', '1 Cinnamon', '1 lemon', '2 Cloves', '50 ml Whiskey', '15 ml Honey', '1 Cinnamon', '1 lemon', '2 Cloves']"
Hunter's Moon ,"['25 ml Vermouth', '15 ml Maraschino Cherry', '10 ml Sugar Syrup', '100 ml Lemonade', '2 Blackberries', '25 ml Vermouth', '15 ml Maraschino Cherry', '10 ml Sugar Syrup', '100 ml Lemonade', '2 Blackberries']"
Ice Pick ,"['1 1/2 oz  Vodka', '6 oz  Iced tea', ' to taste\n Lemon juice', '1 1/2 oz  Vodka', '6 oz  Iced tea', ' to taste\n Lemon juice']"
Iced Coffee ,"['1/4 cup instant  Coffee', '1/4 cup  Sugar', '1/4 cup hot  Water', '4 cups cold  Milk', '1/4 cup instant  Coffee', '1/4 cup  Sugar', '1/4 cup hot  Water', '4 cups cold  Milk']"
Iced Coffee Fillip ,"['2 tsp  Kahlua', 'Strong cold  Coffee', '2 tsp  Kahlua', 'Strong cold  Coffee']"
Imperial Cocktail ,"['4 cl  Lime juice', '2 cl  Gin', '4 cl  Aperol', '4 cl  Lime juice', '2 cl  Gin', '4 cl  Aperol']"
Imperial Fizz ,"['1/2 oz  Light rum', '1 1/2 oz  Blended whiskey', 'Juice of 1/2  Lemon', '1 tsp  Powdered sugar', ' Carbonated water', '1/2 oz  Light rum', '1 1/2 oz  Blended whiskey', 'Juice of 1/2  Lemon', '1 tsp  Powdered sugar', ' Carbonated water']"
Ipamena ,"['½ Lime', '2 tsp Brown sugar', '4 cl Passion fruit juice', 'top up with Ginger ale', 'fill Ice', '½ Lime', '2 tsp Brown sugar', '4 cl Passion fruit juice', 'top up with Ginger ale', 'fill Ice']"
Irish Coffee ,"['1 1/2 oz  Irish whiskey', '8 oz  Coffee', '1 tsp  Sugar', '1 tblsp  Whipped cream', '1 1/2 oz  Irish whiskey', '8 oz  Coffee', '1 tsp  Sugar', '1 tblsp  Whipped cream']"
Irish Cream ,"['1 cup  Scotch', '1 1/4 cup  Half-and-half', '1 can sweetened  Condensed milk', '3 drops  Coconut syrup', '1 tblsp  Chocolate syrup', '1 cup  Scotch', '1 1/4 cup  Half-and-half', '1 can sweetened  Condensed milk', '3 drops  Coconut syrup', '1 tblsp  Chocolate syrup']"
Irish Curdling Cow ,"['3/4 oz  Baileys irish cream', '3/4 oz  Bourbon', '3/4 oz  Vodka', '2-3 oz  Orange juice', '3/4 oz  Baileys irish cream', '3/4 oz  Bourbon', '3/4 oz  Vodka', '2-3 oz  Orange juice']"
Irish Russian ,"['1 shot  Vodka', '1 shot  Kahlua', '1 dash  Coca-Cola', 'Fill with  Guinness stout', '1 shot  Vodka', '1 shot  Kahlua', '1 dash  Coca-Cola', 'Fill with  Guinness stout']"
Irish Spring ,"['1 oz  Irish whiskey', '1/2 oz  Peach brandy', '1 oz  Orange juice', '1 oz  Sweet and sour', '1 slice  Orange', '1  Cherry', '1 oz  Irish whiskey', '1/2 oz  Peach brandy', '1 oz  Orange juice', '1 oz  Sweet and sour', '1 slice  Orange', '1  Cherry']"
Jack Rose Cocktail ,"['1 1/2 oz  Apple brandy', '1 tsp  Grenadine', 'Juice of 1/2  Lime', '1 1/2 oz  Apple brandy', '1 tsp  Grenadine', 'Juice of 1/2  Lime']"
Jack's Vanilla Coke ,"['4-5  Ice', '2 oz  Tennessee whiskey', '1 tsp  Vanilla extract', '10-12 oz  Coca-Cola', '4-5  Ice', '2 oz  Tennessee whiskey', '1 tsp  Vanilla extract', '10-12 oz  Coca-Cola']"
Jackhammer ,"['1 oz  Jack Daniels', '1 oz  Amaretto', '1 oz  Jack Daniels', '1 oz  Amaretto']"
Jam Donut ,"['2/3 oz Baileys irish cream', '1/3 oz Chambord raspberry liqueur', '1 tsp Sugar syrup', '2 pinches Sugar', '2/3 oz Baileys irish cream', '1/3 oz Chambord raspberry liqueur', '1 tsp Sugar syrup', '2 pinches Sugar']"
Jamaica Kiss ,"['1 shot  Coffee liqueur', '1 shot Jamaican  Light rum', 'cubes Ice', ' Milk', '1 shot  Coffee liqueur', '1 shot Jamaican  Light rum', 'cubes Ice', ' Milk']"
Jamaican Coffee ,"['1/6 glass  Rum', '1/6 glass strong black  Coffee', '1/2 glass cold  Water', ' Whipped cream', '1/6 glass  Rum', '1/6 glass strong black  Coffee', '1/2 glass cold  Water', ' Whipped cream']"
Japanese Fizz ,"['1 1/2 oz  Blended whiskey', 'Juice of 1/2  Lemon', '1 tsp  Powdered sugar', '1 tblsp Port', '1  Egg white', ' Carbonated water', '1 1/2 oz  Blended whiskey', 'Juice of 1/2  Lemon', '1 tsp  Powdered sugar', '1 tblsp Port', '1  Egg white', ' Carbonated water']"
Jello shots ,"['2 cups  Vodka', '3 packages  Jello', '3 cups  Water', '2 cups  Vodka', '3 packages  Jello', '3 cups  Water']"
Jelly Bean ,"['1 oz  Blackberry brandy', '1 oz  Anis', '1 oz  Blackberry brandy', '1 oz  Anis']"
Jewel Of The Nile ,"['1 1/2 oz  Gin', '1/2 oz  Green Chartreuse', '1/2 oz  Yellow Chartreuse', '1 1/2 oz  Gin', '1/2 oz  Green Chartreuse', '1/2 oz  Yellow Chartreuse']"
Jitterbug ,"['2 jiggers  Gin', '1 jigger  Vodka', '3 dashes  Grenadine', '1 shot  Lime juice', 'Around rim put 1 pinch  Sugar', '3 dashes  Sugar syrup', 'Fill to top with  Soda water', '2 jiggers  Gin', '1 jigger  Vodka', '3 dashes  Grenadine', '1 shot  Lime juice', 'Around rim put 1 pinch  Sugar', '3 dashes  Sugar syrup', 'Fill to top with  Soda water']"
John Collins ,"['2 oz  Bourbon', '1 oz  Lemon juice', '1 tsp superfine  Sugar', '3 oz  Club soda', '1  Maraschino cherry', '1  Orange', '2 oz  Bourbon', '1 oz  Lemon juice', '1 tsp superfine  Sugar', '3 oz  Club soda', '1  Maraschino cherry', '1  Orange']"
Just a Moonmint ,"['2 cups  Milk', ' Chocolate syrup', ' Mint syrup', '2 cups  Milk', ' Chocolate syrup', ' Mint syrup']"
Kamikaze ,"['1 oz  Vodka', '1 oz  Triple sec', '1 oz  Lime juice', '1 oz  Vodka', '1 oz  Triple sec', '1 oz  Lime juice']"
Karsk ,"['1 part  Coffee', '2 parts  Grain alcohol', '1 part  Coffee', '2 parts  Grain alcohol']"
Kentucky B And B ,"['2 oz  Bourbon', '1/2 oz  Benedictine', '2 oz  Bourbon', '1/2 oz  Benedictine']"
Kentucky Colonel ,"['3 oz  Bourbon', '1/2 oz  Benedictine', '1 twist of  Lemon peel', '3 oz  Bourbon', '1/2 oz  Benedictine', '1 twist of  Lemon peel']"
Kill the cold Smoothie ,"['1 inch  Ginger', '1/4  Lemon', '1 cup hot  Water', '1 inch  Ginger', '1/4  Lemon', '1 cup hot  Water']"
Kioki Coffee ,"['1 oz  Kahlua', '1/2 oz  Brandy', ' Coffee', '1 oz  Kahlua', '1/2 oz  Brandy', ' Coffee']"
Kir ,"['1 part  Creme de Cassis', '5 parts  Champagne', '1 part  Creme de Cassis', '5 parts  Champagne']"
Kir Royale ,"['1 part  Creme de Cassis', '5 parts  Champagne', '1 part  Creme de Cassis', '5 parts  Champagne']"
Kiss me Quick ,"['4 cl  Cranberry vodka', '2 cl  Apfelkorn', '7 cl  Schweppes Russchian', '8 cl  Apple juice', 'cubes Ice', '4 cl  Cranberry vodka', '2 cl  Apfelkorn', '7 cl  Schweppes Russchian', '8 cl  Apple juice', 'cubes Ice']"
Kiwi Lemon ,"['1 part  Kiwi liqueur', '2 parts  Bitter lemon', 'cubes Ice', '1 part  Kiwi liqueur', '2 parts  Bitter lemon', 'cubes Ice']"
Kiwi Martini ,"['1/2 Kiwi', '1 tsp Sugar Syrup', '1 1/2 oz Vodka', 'Garnish with Kiwi', '1/2 Kiwi', '1 tsp Sugar Syrup', '1 1/2 oz Vodka', 'Garnish with Kiwi']"
Kiwi Papaya Smoothie ,"['3  Kiwi', '1/2  Papaya', '3  Kiwi', '1/2  Papaya']"
Kool First Aid ,"['2 oz light  151 proof rum', '1/2 tsp Tropical  Kool-Aid', '2 oz light  151 proof rum', '1/2 tsp Tropical  Kool-Aid']"
Kool-Aid Shot ,"['1 shot  Vodka', '1 shot  Amaretto', '1 shot  Sloe gin', '1 shot  Triple sec', ' Cranberry juice', '1 shot  Vodka', '1 shot  Amaretto', '1 shot  Sloe gin', '1 shot  Triple sec', ' Cranberry juice']"
Kool-Aid Slammer ,"['1/2 oz Grape  Kool-Aid', '1/2 oz  Vodka', '1/2 oz Grape  Kool-Aid', '1/2 oz  Vodka']"
Kurant Tea ,"['4 cl  Absolut Kurant', 'Turkish apple  Tea', ' (if needed)\n Sugar', '4 cl  Absolut Kurant', 'Turkish apple  Tea', ' (if needed)\n Sugar']"
Lady Love Fizz ,"['2 oz  Gin', '2 tsp  Light cream', '1 tsp  Powdered sugar', 'Juice of 1/2 Lemon', '1  Egg white', ' Carbonated water', '2 oz  Gin', '2 tsp  Light cream', '1 tsp  Powdered sugar', 'Juice of 1/2 Lemon', '1  Egg white', ' Carbonated water']"
Lassi - A South Indian Drink ,"['1/2 cup plain  Yoghurt', '1 1/4 cup cold  Water', '1/2 tsp ground roasted  Cumin seed', '1/4 tsp  Salt', '1/4 tsp dried  Mint', '1/2 cup plain  Yoghurt', '1 1/4 cup cold  Water', '1/2 tsp ground roasted  Cumin seed', '1/4 tsp  Salt', '1/4 tsp dried  Mint']"
Lassi - Mango ,"['2  Mango', '2 cups  Yoghurt', '1/2 cup  Sugar', '1 cup iced  Water', '2  Mango', '2 cups  Yoghurt', '1/2 cup  Sugar', '1 cup iced  Water']"
Lassi - Sweet ,"['1 cup  Yoghurt', '2 cups cold  Water', '4 tblsp  Sugar', 'pinch  Salt', '2 tblsp  Lemon juice', '1 cup  Yoghurt', '2 cups cold  Water', '4 tblsp  Sugar', 'pinch  Salt', '2 tblsp  Lemon juice']"
Lassi Khara ,"['1 cup  Yoghurt', '2 cups cold  Water', '1 tsp  Salt', '1 pinch  Asafoetida', '1 cup  Yoghurt', '2 cups cold  Water', '1 tsp  Salt', '1 pinch  Asafoetida']"
Lassi Raita ,"['2 cups  Yoghurt', '4-6  Ice', ' Sugar', ' Lime', ' Salt', '2 cups  Yoghurt', '4-6  Ice', ' Sugar', ' Lime', ' Salt']"
Lazy Coconut Paloma ,"['30 ml Coconut Liqueur', '75 ml Grapefruit Juice', 'Top Soda Water', '30 ml Coconut Liqueur', '75 ml Grapefruit Juice', 'Top Soda Water']"
Lemon Drop ,"['1 1/2 shot  Vodka', '1 1/2 shot  Cointreau', 'Juice of 1 wedge  Lemon', '1 1/2 shot  Vodka', '1 1/2 shot  Cointreau', 'Juice of 1 wedge  Lemon']"
Lemon Elderflower Spritzer ,"['2 tsp Elderflower cordial', '1 shot Vodka', '1/3 cup Soda Water', 'Top Fresh Lemon Juice', '2 tsp Elderflower cordial', '1 shot Vodka', '1/3 cup Soda Water', 'Top Fresh Lemon Juice']"
Lemon Shot ,"['1/2 oz  Galliano', '1/2 oz  Absolut Citron', ' wedge\n Lemon', 'Bacardi  Sugar', ' 151 proof rum', '1/2 oz  Galliano', '1/2 oz  Absolut Citron', ' wedge\n Lemon', 'Bacardi  Sugar', ' 151 proof rum']"
Lemouroudji ,"['2 pieces  Ginger', '1 gal  Water', '1 lb  Lemon', '1 cup  Sugar', 'ground  Cayenne pepper', '2 pieces  Ginger', '1 gal  Water', '1 lb  Lemon', '1 cup  Sugar', 'ground  Cayenne pepper']"
Limeade ,"['Juice of 1  Lime', '1 tblsp  Sugar', ' (seltzer water)\n Soda water', ' Lime peel', 'Juice of 1  Lime', '1 tblsp  Sugar', ' (seltzer water)\n Soda water', ' Lime peel']"
Limona Corona ,"['1 bottle  Corona', '1 oz  Bacardi Limon', '1 bottle  Corona', '1 oz  Bacardi Limon']"
Loch Lomond ,"['2 oz  Scotch', '1/2 oz  Drambuie', '1/2 oz  Dry Vermouth', '1 twist of  Lemon peel', '2 oz  Scotch', '1/2 oz  Drambuie', '1/2 oz  Dry Vermouth', '1 twist of  Lemon peel']"
London Town ,"['1 1/2 oz  Gin', '1/2 oz  Maraschino liqueur', '2 dashes  Orange bitters', '1 1/2 oz  Gin', '1/2 oz  Maraschino liqueur', '2 dashes  Orange bitters']"
Lone Tree Cocktail ,"['3/4 oz  Sweet Vermouth', '1 1/2 oz  Gin', '3/4 oz  Sweet Vermouth', '1 1/2 oz  Gin']"
Lone Tree Cooler ,"[' Carbonated water', ' Gin', ' Dry Vermouth', ' Powdered sugar', ' Orange spiral', ' Lemon peel', ' Carbonated water', ' Gin', ' Dry Vermouth', ' Powdered sugar', ' Orange spiral', ' Lemon peel']"
Long Island Iced Tea ,"['1/2 oz  Vodka', '1/2 oz  Tequila', '1/2 oz  Light rum', '1/2 oz  Gin', '1 dash  Coca-Cola', 'Twist of  Lemon peel', '1/2 oz  Vodka', '1/2 oz  Tequila', '1/2 oz  Light rum', '1/2 oz  Gin', '1 dash  Coca-Cola', 'Twist of  Lemon peel']"
Long Island Tea ,"['1/2 oz  Vodka', '1/2 oz  Light rum', '1/2 oz  Gin', '1/2 oz  Tequila', 'Juice of 1/2  Lemon', '1 splash  Coca-Cola', '1/2 oz  Vodka', '1/2 oz  Light rum', '1/2 oz  Gin', '1/2 oz  Tequila', 'Juice of 1/2  Lemon', '1 splash  Coca-Cola']"
Long vodka ,"['5 cl  Vodka', '1/2  Lime', '4 dashes  Angostura bitters', '1 dl Schweppes  Tonic water', '4  Ice', '5 cl  Vodka', '1/2  Lime', '4 dashes  Angostura bitters', '1 dl Schweppes  Tonic water', '4  Ice']"
Lord And Lady ,"['1 1/2 oz  Dark rum', '1/2 oz  Tia maria', '1 1/2 oz  Dark rum', '1/2 oz  Tia maria']"
Lunch Box ,"['3/4 bottle  Beer', '1 shot  Amaretto', '1 oz  Orange juice', '3/4 bottle  Beer', '1 shot  Amaretto', '1 oz  Orange juice']"
Mai Tai ,"['1 oz  Light rum', '1/2 oz  Orgeat syrup', '1/2 oz  Triple sec', '1 1/2 oz  Sweet and sour', '1  Cherry', '1 oz  Light rum', '1/2 oz  Orgeat syrup', '1/2 oz  Triple sec', '1 1/2 oz  Sweet and sour', '1  Cherry']"
Malibu Twister ,"['2 parts  Malibu rum', '2 parts  Tropicana', '1 part  Cranberry juice', '2 parts  Malibu rum', '2 parts  Tropicana', '1 part  Cranberry juice']"
Mango Mojito ,"['3 Lime', '1 Fresh Mango', 'Sprig Mint', '200 ml White Rum', 'cubes Ice', 'Top Soda Water', 'Garnish with Mango', '3 Lime', '1 Fresh Mango', 'Sprig Mint', '200 ml White Rum', 'cubes Ice', 'Top Soda Water', 'Garnish with Mango']"
Mango Orange Smoothie ,"['1  Mango', '2  Orange', '1  Mango', '2  Orange']"
Manhattan ,"['3/4 oz  Sweet Vermouth', '2 1/2 oz Blended  Bourbon', 'dash  Angostura bitters', '2 or 3  Ice', '1  Maraschino cherry', '1 twist of  Orange peel', '3/4 oz  Sweet Vermouth', '2 1/2 oz Blended  Bourbon', 'dash  Angostura bitters', '2 or 3  Ice', '1  Maraschino cherry', '1 twist of  Orange peel']"
Margarita ,"['1 1/2 oz  Tequila', '1/2 oz  Triple sec', '1 oz  Lime juice', ' Salt', '1 1/2 oz  Tequila', '1/2 oz  Triple sec', '1 oz  Lime juice', ' Salt']"
Martinez 2 ,"['1 1/2 oz Gin', '1 1/2 oz Sweet Vermouth', '1 tsp Maraschino Liqueur', '2 dashes Angostura Bitters', '1 1/2 oz Gin', '1 1/2 oz Sweet Vermouth', '1 tsp Maraschino Liqueur', '2 dashes Angostura Bitters']"
Martinez Cocktail ,"['1 oz  Gin', '1 oz  Dry Vermouth', '1/4 tsp  Triple sec', '1 dash  Orange bitters', '1  Cherry', '1 oz  Gin', '1 oz  Dry Vermouth', '1/4 tsp  Triple sec', '1 dash  Orange bitters', '1  Cherry']"
Martini ,"['1 2/3 oz  Gin', '1/3 oz  Dry Vermouth', '1  Olive', '1 2/3 oz  Gin', '1/3 oz  Dry Vermouth', '1  Olive']"
Mary Pickford ,"['1 1/2 oz  Light rum', '1 oz  Pineapple juice', '1/2 tsp  Maraschino liqueur', '1/2 tsp  Grenadine', '1  Maraschino cherry', '1 1/2 oz  Light rum', '1 oz  Pineapple juice', '1/2 tsp  Maraschino liqueur', '1/2 tsp  Grenadine', '1  Maraschino cherry']"
Masala Chai ,"['2 cups  Water', '3-4 tsp  Tea', '1 chunk dried  Ginger', '3-4 crushed  Cardamom', '3  Cloves', '1 piece  Cinnamon', '1-2 whole  Black pepper', ' to taste\n Sugar', 'to taste Milk', '2 cups  Water', '3-4 tsp  Tea', '1 chunk dried  Ginger', '3-4 crushed  Cardamom', '3  Cloves', '1 piece  Cinnamon', '1-2 whole  Black pepper', ' to taste\n Sugar', 'to taste Milk']"
Melya ,"[' Espresso', 'Unsweetened  Honey', ' Cocoa powder', ' Espresso', 'Unsweetened  Honey', ' Cocoa powder']"
Miami Vice ,"['5 oz Bacardi  151 proof rum', 'frozen  Pina colada mix', 'frozen  Daiquiri mix', '5 oz Bacardi  151 proof rum', 'frozen  Pina colada mix', 'frozen  Daiquiri mix']"
Michelada ,"['4 oz Beer', '4 oz Tomato Juice', '1 tblsp Lime Juice', 'Dash Hot Sauce', 'Dash Worcestershire Sauce', 'Dash Soy Sauce', '4 oz Beer', '4 oz Tomato Juice', '1 tblsp Lime Juice', 'Dash Hot Sauce', 'Dash Worcestershire Sauce', 'Dash Soy Sauce']"
Microwave Hot Cocoa ,"['5 tblsp  Sugar', '3 tblsp  Cocoa powder', '1 dash  Salt', '3 tblsp hot  Water', '2 cups  Milk', '1/4 tsp  Vanilla extract', '5 tblsp  Sugar', '3 tblsp  Cocoa powder', '1 dash  Salt', '3 tblsp hot  Water', '2 cups  Milk', '1/4 tsp  Vanilla extract']"
Midnight Cowboy ,"['2 oz  Bourbon', '1 oz  Dark rum', '1/2 oz  Heavy cream', '2 oz  Bourbon', '1 oz  Dark rum', '1/2 oz  Heavy cream']"
Midnight Manx ,"['1 oz  Kahlua', '1 oz  Baileys irish cream', 'dash  Goldschlager', '2 oz  Heavy cream', '2 oz Hazlenut  Coffee', '1 oz  Kahlua', '1 oz  Baileys irish cream', 'dash  Goldschlager', '2 oz  Heavy cream', '2 oz Hazlenut  Coffee']"
Midnight Mint ,"['1 oz  Baileys irish cream', '3/4 oz  White Creme de Menthe', '3/4 oz double  Cream', '1 oz  Baileys irish cream', '3/4 oz  White Creme de Menthe', '3/4 oz double  Cream']"
Mimosa ,"['Chilled  Champagne', '2 oz  Orange juice', 'Chilled  Champagne', '2 oz  Orange juice']"
Mint Julep ,"['4 fresh  Mint', '2 1/2 oz  Bourbon', '1 tsp  Powdered sugar', '2 tsp  Water', '4 fresh  Mint', '2 1/2 oz  Bourbon', '1 tsp  Powdered sugar', '2 tsp  Water']"
Mississippi Planters Punch ,"['1 oz  Brandy', '1/2 oz  Light rum', '1/2 oz  Bourbon', 'Juice of 1/2 Lemon', '1 tblsp Powdered sugar', ' Carbonated water', '1 oz  Brandy', '1/2 oz  Light rum', '1/2 oz  Bourbon', 'Juice of 1/2 Lemon', '1 tblsp Powdered sugar', ' Carbonated water']"
Mocha-Berry ,"['6 oz  Coffee', '2 oz  Chambord raspberry liqueur', '2 tblsp  Cocoa powder', ' Whipped cream', '6 oz  Coffee', '2 oz  Chambord raspberry liqueur', '2 tblsp  Cocoa powder', ' Whipped cream']"
Mojito ,"['2-3 oz  Light rum', 'Juice of 1  Lime', '2 tsp  Sugar', '2-4  Mint', ' Soda water', '2-3 oz  Light rum', 'Juice of 1  Lime', '2 tsp  Sugar', '2-4  Mint', ' Soda water']"
Mojito Extra ,"['1/2 handful  Mint', '3 cl  Lemon juice', '1/8 L Jamaican  Dark rum', '1/8 L  Club soda', '8 drops  Angostura bitters', '1/2 handful  Mint', '3 cl  Lemon juice', '1/8 L Jamaican  Dark rum', '1/8 L  Club soda', '8 drops  Angostura bitters']"
Monkey Gland ,"['2 oz  Gin', '1 tsp  Benedictine', '1/2 oz  Orange juice', '1 tsp  Grenadine', '2 oz  Gin', '1 tsp  Benedictine', '1/2 oz  Orange juice', '1 tsp  Grenadine']"
Monkey Wrench ,"['1 1/2 oz  Light rum', '3 oz  Grapefruit juice', '1 dash  Bitters', '1 1/2 oz  Light rum', '3 oz  Grapefruit juice', '1 dash  Bitters']"
Moranguito ,"['2/5  Absinthe', '2/5  Tequila', '1/5  Grenadine', '2/5  Absinthe', '2/5  Tequila', '1/5  Grenadine']"
Moscow Mule ,"['2 oz  Vodka', '2 oz  Lime juice', '8 oz  Ginger ale', '2 oz  Vodka', '2 oz  Lime juice', '8 oz  Ginger ale']"
Mother's Milk ,"['1 oz  Goldschlager', '1 oz  Butterscotch schnapps', '1 oz  Milk', '1 oz  Goldschlager', '1 oz  Butterscotch schnapps', '1 oz  Milk']"
Mountain Bramble ,"['2 oz Gin', '0.75 oz Lemon Juice', '0.75 oz Sugar Syrup', 'Ground Blackberries', 'Top Soda Water', 'Garnish with Mint', '2 oz Gin', '0.75 oz Lemon Juice', '0.75 oz Sugar Syrup', 'Ground Blackberries', 'Top Soda Water', 'Garnish with Mint']"
Mudslinger ,"['750 ml  Southern Comfort', '1 L  Orange juice', '750 ml  Pepsi Cola', '750 ml  Southern Comfort', '1 L  Orange juice', '750 ml  Pepsi Cola']"
Mulled Wine ,"['3 cups  Water', '1 cup  Sugar', '12  Cloves', '2  Cinnamon', '1  Lemon peel', '750 ml  Red wine', '1/4 cup  Brandy', '3 cups  Water', '1 cup  Sugar', '12  Cloves', '2  Cinnamon', '1  Lemon peel', '750 ml  Red wine', '1/4 cup  Brandy']"
Munich Mule ,"['5 cl Gin', '2 cl Lime Juice', '10 cl Ginger Beer', 'Chopped Cucumber', 'Chopped lemon', '5 cl Gin', '2 cl Lime Juice', '10 cl Ginger Beer', 'Chopped Cucumber', 'Chopped lemon']"
National Aquarium ,"['1/2 oz  Rum', '1/2 oz  Vodka', '1/2 oz  Gin', '1/2 oz  Blue Curacao', '2 oz  Sour mix', '1 splash  Lemon-lime soda', '1/2 oz  Rum', '1/2 oz  Vodka', '1/2 oz  Gin', '1/2 oz  Blue Curacao', '2 oz  Sour mix', '1 splash  Lemon-lime soda']"
Negroni ,"['1 oz  Gin', '1 oz  Campari', '1 oz  Sweet Vermouth', '1 oz  Gin', '1 oz  Campari', '1 oz  Sweet Vermouth']"
New York Lemonade ,"['2 oz  Absolut Citron', '1 oz  Grand Marnier', '2 oz sweetened  Lemon juice', '1 oz  Club soda', '2 oz  Absolut Citron', '1 oz  Grand Marnier', '2 oz sweetened  Lemon juice', '1 oz  Club soda']"
New York Sour ,"['2 oz  Blended whiskey', 'Juice of 1/2  Lemon', '1 tsp  Sugar', ' (Claret)\n Red wine', ' Lemon', ' Cherry', '2 oz  Blended whiskey', 'Juice of 1/2  Lemon', '1 tsp  Sugar', ' (Claret)\n Red wine', ' Lemon', ' Cherry']"
Nuked Hot Chocolate ,"['2 tsp  Cocoa powder', '1 tsp  Sugar', '1/2 tsp  Vanilla extract', '12 oz  Milk', '2 tsp  Cocoa powder', '1 tsp  Sugar', '1/2 tsp  Vanilla extract', '12 oz  Milk']"
Nutty Irishman ,"['1 part  Baileys irish cream', '1 part  Frangelico', '1 part  Milk', '1 part  Baileys irish cream', '1 part  Frangelico', '1 part  Milk']"
Oatmeal Cookie ,"['2 parts Kahlua', '2 parts Baileys irish cream', '4 parts Butterscotch schnapps', '1 part Jagermeister', '1/2 part Goldschlager', '2 parts Kahlua', '2 parts Baileys irish cream', '4 parts Butterscotch schnapps', '1 part Jagermeister', '1/2 part Goldschlager']"
Old Fashioned ,"['4.5 cL Bourbon', '2 dashes Angostura bitters', '1 cube Sugar', 'dash Water', '4.5 cL Bourbon', '2 dashes Angostura bitters', '1 cube Sugar', 'dash Water']"
Old Pal ,"['2 oz Rye whiskey', '1 oz Campari', '1 oz Dry Vermouth', '2 oz Rye whiskey', '1 oz Campari', '1 oz Dry Vermouth']"
Orange Crush ,"['1 oz  Vodka', '1 oz  Triple sec', '1 oz  Orange juice', '1 oz  Vodka', '1 oz  Triple sec', '1 oz  Orange juice']"
Orange Oasis ,"['1/2 oz  Cherry brandy', '1 1/2 oz  Gin', '4 oz  Orange juice', ' Ginger ale', '1/2 oz  Cherry brandy', '1 1/2 oz  Gin', '4 oz  Orange juice', ' Ginger ale']"
Orange Push-up ,"['1.5 oz  Spiced rum', '0.5 oz  Grenadine', '4 oz  Orange juice', '1 splash  Sour mix', '1.5 oz  Spiced rum', '0.5 oz  Grenadine', '4 oz  Orange juice', '1 splash  Sour mix']"
Orange Rosemary Collins ,"['1 shot Gin', 'Top Orange Juice', 'Top Lemon Juice', '25 ml Rosemary Syrup', 'Top Soda Water', 'Garnish with Rosemary', 'Garnish with Orange Peel', '1 shot Gin', 'Top Orange Juice', 'Top Lemon Juice', '25 ml Rosemary Syrup', 'Top Soda Water', 'Garnish with Rosemary', 'Garnish with Orange Peel']"
Orange Scented Hot Chocolate ,"['2 cups  Milk', '4 oz chopped bittersweet or semi-sweet  Chocolate', '3 2-inch strips  Orange peel', '1/2 tsp instant  Espresso', '1/8 tsp ground  Nutmeg', '2 cups  Milk', '4 oz chopped bittersweet or semi-sweet  Chocolate', '3 2-inch strips  Orange peel', '1/2 tsp instant  Espresso', '1/8 tsp ground  Nutmeg']"
Orange Whip ,"['4 oz  Orange juice', '1 oz  Rum', '1 oz  Vodka', '1 package  Cream', 'Over  Ice', '4 oz  Orange juice', '1 oz  Rum', '1 oz  Vodka', '1 package  Cream', 'Over  Ice']"
Orangeade ,"['5 cl  Lemon juice', '15 cl  Orange juice', '2-3 cl  Sugar syrup', ' Soda water', '5 cl  Lemon juice', '15 cl  Orange juice', '2-3 cl  Sugar syrup', ' Soda water']"
